Dati della strada;Dati della strada;Dati della strada;Dati della strada;Dati della strada;Dati della strada;Dati della strada;Dati della strada;Dati della strada
id strada;id lrs;codice servizio;denominazione;progressiva di inizio strada;progressiva di fine strada;localita di inizio strada;localita di fine strada;TIPO
130;30009006;SP 90 2°tronco dir;Destra Adige 2° tronco diramazione per aeroporto;0;1,769;;;C
131;30009007;SP 90 3°tronco;Destra Adige 3° tronco (Zambana - Mezzolombardo);0;7,51;;;C
132;30009008;SP 90 3°tronco dir;Destra Adige 3° tronco diramazone Ponte Nave S. Felice;0;0,354;;;C
133;30009009;SP 90 4°tronco;Destra Adige 4° tronco (Mezzocorona - Roveré della Luna);0;7,76;;;C
134;30009010;SP 90 4°tronco dir;Destra Adige 4° tronco diramazione Grumo;0;0,829;;;C
135;30009011;SP 90 5°tronco;Destra Adige 5° tronco (confine BZ - confine BZ);0;1,29;Roverè della Luna;Provincia di Bolzano;C
136;30009100;SP 91;Fraviano - Cortina;0;1,55;Pizzano;Bivio S.S. n. 42;C
137;30009400;SP 94;di Stavel;0;6,454;Pizzano;Bivio S.S. n. 42;C
139;30009600;SP 96;del Lago Santo;0;5,08;Cembra - bivio S.S. 612;Lago Santo;C
302;30009800;SP 98;di Anterivo;0;4,64;;;C
140;30010100;SP 101;Trasversale Valle di Cembra;0;4,439;Faver - bivio S.S. 612;S.P. 71 - km 16,150;C
333;30010101;SP 101 sv Faver;SP 101 svincolo di Faver;15,555;15,82;;;C
319;30010200;SP 102;delle Piramidi;0;2,929;Saletto - SP 71;Strente;C
141;30010400;SP 104;delle Quadrate;0;2,74;S.P. 83 km 5,700;Fornace;C
142;30010600;SP 106;di San Michele all'Adige;0;3,749;staccandosi dalla S.S. 12 prima dell'abitato di San Michele;all'intersezinione con S.S. 12 in loc. Cacciatore;C
316;30010601;SP 106 dir;SP 106 diramazione S.S. 12;0;0,08;;;C
143;30010700;SP 107;del Lago di Canzolino;0;2,655;Bivio S.P. 66;Bivio S.P. 83;C
144;30010701;SP 107 dir;del Lago di Canzolino diramazione per Canzolino;0;0,9;località Canzolino;Lago di Canzolino;C
145;30010800;SP 108;della Valle di Centa;0;6,81;Vattaro Pian dei Pradi SS 349;Caldonazzo S.P. 133;C
146;30010900;SP 109;di Borgo;0;7,552;Samatec in corrispondenza del km 0,000 S.P. 237;Larganza incrocio con S.S. 47 al km 99,350 svincoli complessivi km 1,062;C
308;30010901;SP 109 sv;di Borgo svincoli;0;1,062;;;C
148;30011000;SP 110;di Telve;0;2,143;Borgo incrocio con S.P. 109 al km 3,000;Telve incrocio con S.P. n.  31 al km 2,103;C
149;30011100;SP 111;di Carzano;0;1,166;incrocio con S.P. n. 31 al km 1,000;Carzano incrocio con S.P. 65 al km 12,346;C
150;30011400;SP 114;Pieve - Cinte Tesino;0;1,09;Pieve Tesino incrocio con S.P. 78 al km 11,735;inizio abitato Cinte Tesino;C
151;30011500;SP 115;di Sagron Mis;0;3,062;Abitato Mis di mezzo incrocio con la S.S. 347 al km 11,400;Abitato di Sagron;C
153;30011800;SP 118;di San Giorgio;0,5;3,76;Riva del Garda (incrocio con S.S. 240 al km 18,474);Arco (rotatoria con S.S. 45 bis );C
