,@id,latitude,longitude,name,brand,operator,fuel:diesel,fuel:lpg,fuel:cng,address
100,665462507,45.9965856,11.2591767,Total,Firmin,Max Line Srl,,,,"Total, Viale Trento, Costa di Brenta, Caldonazzo, Comunità Alta Valsugana e Bersntol, Trento, Trentino-Alto Adige/Südtirol, 38052, Italia"
101,734201586,45.8722223,10.770377400000001,IP,Api-Ip,Officina Mazzola di Mazzola Giancarlo e Giampaolo S.N.C.,no,,,"IP, Via Maffei, Legos, Ledro, Comunità Alto Garda e Ledro, Trento, Trentino-Alto Adige/Südtirol, 38067, Italia"
102,740162698,46.1819951,11.831571400000001,,Agip Eni,Brugnolo Luciano,yes,,,"Agip Eni, Via Roma, Siror, Primiero San Martino di Castrozza, Comunità di Primiero, Trento, Trentino-Alto Adige/Südtirol, 38054, Italia"
103,755815895,45.851752399999995,10.574297999999999,,Q8,Marteletti Mirco,,,,"Q8, Via Saletto, Storo, Comunità delle Giudicarie, Trento, Trentino-Alto Adige/Südtirol, 38089, Italia"
104,755816457,45.848490999999996,10.557564,,Esso,Esso Storo - Self Area - di Demadonna Simone Diego & C. S.N.C.,,,,"Esso, Via di Vil, Storo, Comunità delle Giudicarie, Trento, Trentino-Alto Adige/Südtirol, 38089, Italia"
105,776352361,45.8899068,10.728708099999999,IP,Api-Ip,Pellegrini Paolo,,,,"IP, 8, Via Nuova, Ledro, Comunità Alto Garda e Ledro, Trento, Trentino-Alto Adige/Südtirol, 38067, Italia"
106,776352364,45.892593299999994,10.6853771,,Gnp,Gruppo Nord Petroli S.R.L.,,,,"Gnp, SS240, Ledro, Comunità Alto Garda e Ledro, Trento, Trentino-Alto Adige/Südtirol, 38067, Italia"
107,794192796,46.0689999,11.1363023,Q8,Q8,Dido S.N.C. di Bahtic Edin & Bahtic Mina,,,,"Q8, Via Venezia, Cernidor, San Vito, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38100, Italia"
108,866792871,46.398582899999994,11.6691938,,Tamoil,Stazione di Servizio Soraga di Lastei Mariacristina & C. S.A.S.,,,,"Tamoil, Stradon de Fascia, Soraga di Fassa, Comun General de Fascia, Trento, Trentino-Alto Adige/Südtirol, 38039, Italia"
109,867652450,46.07026079999999,11.1162566,,Agip Eni,Detone Oscar,,,,"Agip Eni, ENI, Piedicastello, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38122, Italia"
110,905067404,45.928203700000005,11.093256,IP,Total Erg,Chesini Domenica,yes,,,"IP, SS12, Calliano, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, Italia"
111,935736694,46.190762,11.0413809,,,Scari S.R.L.,,,,"Scari S.R.L., Strada Statale dei Laghi di Molveno e Tenno, Maso Trentini, Spormaggiore, Comunità della Paganella, Trento, Trentino-Alto Adige/Südtirol, 38010, Italia"
112,943285739,46.364055,11.0343921,,Q8,,,,,"Q8, Viale Alcide de Gasperi, Pez, Cles, Comunità della Val di Non, Trento, Trentino-Alto Adige/Südtirol, 38023, Italia"
