@id,@lat,@lon,name,place,destination,ele,direction_northeast,hiking,direction_south,direction_northwest,direction_southeast,hiking,ref,direction_north,source,horse,foot,bicycle
600123858,45.9379779,10.8370679,,,,,,yes,,,,yes,,,,,,
602662793,45.8697183,10.7813342,,,,,,,,,,,,,,,,
602662835,45.8645488,10.8023816,,,,,,yes,,,,yes,,,,,,
602662840,45.8645578,10.8134948,,,,,,yes,,,,yes,,,,,,
602662868,45.8703999,10.8328773,Val Sperone,,,155,,yes,,,,yes,,,,,,
602662918,45.9178077,10.7391887,Mountain & Garda Bike,,,,,,,,,,,,,,,
602691686,45.9264735,10.7616718,Mountain & Garda Bike,,,,,yes,,,,yes,,,,,,
602691710,45.9273703,10.7670750,,,,,,yes,,,,yes,,,,,,
602691758,45.9297194,10.7735172,,,,,,,,,,,,,,,,
606795795,45.9173920,10.8331683,,,,,,yes,,,,yes,,,,,,
606796121,45.9253759,10.8469782,,,,,,yes,,,,yes,,,,,,no
606796177,45.9269210,10.8481891,,,,,,yes,,,,yes,,,,,,
610443079,45.9117585,10.8381855,,,,,,yes,,,,yes,,,,,,
610443134,45.9154684,10.8352568,,,,,,yes,,,,yes,,,,,,
610443219,45.9164457,10.8356363,,,,,,,,,,,,,,,,
610443224,45.9165927,10.8370299,,,,,,,,,,,,,,,,
610443233,45.9138716,10.8384915,,,,,,yes,,,,yes,,,,,,
610974571,45.9189924,10.9050533,,,,,,,,,,,,,,,,
610991660,45.8799057,10.8850316,,,,,,,,,,,,,,,,
612025048,46.4072751,11.8180995,Valle Tasca,,,,,,,,,,,,,,,
613085474,45.9056706,10.8404109,,,,,,,,,,,,,,,,
615712423,45.9070524,10.8407327,,,,,,,,,,,,,,,,
616524700,46.4076678,10.8033804,Sentiero n. 1-2-6-8,,,,,yes,,,,yes,,,,,,
621349848,45.8514296,10.8687167,,,,,,,,,,,,,,,,
621349862,45.8524993,10.8711473,,,,,,,,,,,,,,,,
621349903,45.8635326,10.8812293,,,,,,,,,,,,,,,,
621349919,45.8660366,10.8816075,,,,,,,,,,,,,,,,
621349923,45.8669238,10.8801810,,,,,,yes,,,,yes,,,,,,
621349925,45.8651856,10.8819998,,,,,,,,,,,,,,,,
621387548,45.8632369,10.8790198,,,,,,,,,,,,,,,,
638735263,45.9500005,10.8979323,,,,,,yes,,,,yes,,,,,,
642206807,45.9239593,10.8722370,,,,,,yes,,,,yes,,,,,,
642206810,45.9239330,10.8757939,,,,,,,,,,,,,,,,
665434212,46.4875735,11.2070508,,,,1790,,,,,,,,,,,,
671576505,45.9494084,10.9094518,,,,,,yes,,,,yes,,,,,,
671576607,45.9708009,10.9327870,,,,,,yes,,,,yes,,,,,,
676871281,46.0304656,11.2002442,,,,,,,,,,,,,,,,
